,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
0,beipiao,cn,41.8,120.76,-1.69,1.31,83.0,32.0
1,zhanaozen,kz,43.35,52.85,-6.49,3.51,78.0,0.0
3,puerto escondido,mx,15.86,-97.07,28.0,5.1,65.0,20.0
4,fort smith,us,35.39,-94.42,17.0,4.1,15.0,1.0
5,hamilton,bm,32.3,-64.78,18.0,14.4,68.0,75.0
6,louis trichardt,za,-23.04,29.91,18.71,1.61,89.0,0.0
7,erenhot,cn,43.65,111.97,-0.24,2.26,80.0,12.0
8,hervey bay,au,-25.3,152.85,24.66,9.71,95.0,88.0
9,el corpus,hn,14.7,-88.91,26.36,1.31,59.0,8.0
10,cap malheureux,mu,-19.98,57.61,27.0,8.2,78.0,40.0
11,igarka,ru,67.47,86.57,-16.54,7.06,78.0,68.0
12,raudeberg,no,61.99,5.14,2.0,3.6,43.0,0.0
14,point pedro,lk,9.82,80.23,27.06,4.41,99.0,92.0
15,siavonga,zm,-16.54,28.71,22.16,1.51,96.0,68.0
17,pacific grove,us,36.62,-121.92,15.0,5.1,93.0,90.0
18,ontario,us,34.07,-117.65,23.0,5.7,88.0,90.0
20,sri aman,my,1.24,111.46,24.0,0.96,94.0,40.0
22,lindsay,us,36.2,-119.09,23.0,2.6,64.0,40.0
23,crangurile de sus,ro,44.77,25.23,3.56,1.56,94.0,32.0
24,moerai,pf,-22.43,-151.33,26.56,3.51,100.0,12.0
26,murgab,tm,37.5,61.97,8.0,2.1,81.0,75.0
27,kesan,tr,40.86,26.63,10.41,1.46,96.0,80.0
28,abashiri,jp,44.01,144.25,1.11,2.01,87.0,56.0
29,maxixe,mz,-23.86,35.35,23.86,3.31,100.0,32.0
30,yozgat,tr,39.82,34.81,5.01,2.21,87.0,0.0
31,emerald,au,-23.53,148.16,21.11,4.66,87.0,24.0
32,monteagudo,bo,-19.8,-63.96,27.0,3.1,74.0,90.0
33,montemor-o-novo,pt,38.65,-8.21,14.0,4.1,93.0,40.0
34,bulawayo,zw,-20.16,28.59,16.61,3.66,95.0,12.0
35,san joaquin,bo,-16.38,-58.39,32.21,3.76,62.0,44.0
36,coquimbo,cl,-29.95,-71.34,20.0,5.1,60.0,0.0
37,yarmouth,ca,43.84,-66.12,1.0,13.4,98.0,90.0
39,russell,nz,-35.26,174.12,18.81,4.16,92.0,36.0
40,vanimo,pg,-2.67,141.3,27.76,6.91,100.0,68.0
41,namibe,ao,-15.19,12.15,24.26,2.61,100.0,20.0
42,belmonte,br,-26.84,-53.58,31.76,1.96,44.0,12.0
43,san patricio,mx,19.22,-104.7,28.0,5.1,69.0,20.0
44,oistins,bb,13.07,-59.53,27.0,9.3,74.0,40.0
45,yuanping,cn,38.72,112.71,2.76,1.41,83.0,0.0
46,agirish,ru,61.92,63.02,-8.29,3.21,79.0,44.0
47,am timan,td,11.04,20.28,24.26,3.01,23.0,0.0
48,chikwawa,mw,-16.03,34.79,23.56,2.81,94.0,92.0
